date,cnt
5/28/2022,624
1/12/2012,121
11/22/2009,69
3/27/2021,339
5/22/2021,313
6/3/2017,107
10/27/2021,449
7/30/2011,122
6/14/2019,183
4/25/2018,111
7/31/2022,680
8/26/2022,839
7/28/2019,185
1/31/2021,349
11/3/2022,6065
3/11/2021,399
4/25/2012,123
7/14/2019,181
5/18/2021,379
10/30/2014,84
11/30/2021,515
12/20/2021,481
4/16/2022,545
7/5/2022,768
3/22/2019,181
1/2/2014,100
7/2/2019,199
8/5/2022,1092
11/24/2021,394
5/16/2015,114
1/7/2020,261
8/15/2016,124
10/28/2022,4099
11/1/2020,297
2/17/2021,368
6/16/2019,187
10/7/2014,85
2/24/2017,123
5/27/2018,167
10/15/2022,1243
8/27/2011,142
8/24/2021,417
3/13/2017,106
3/7/2017,97
5/18/2019,175
12/10/2016,112
2/6/2021,325
11/1/2022,12515
4/13/2011,133
9/19/2018,135
6/11/2011,140
1/30/2021,350
1/31/2012,135
9/25/2022,1860
8/23/2020,301
3/29/2017,125
6/26/2009,192
10/14/2008,15
4/14/2021,362
8/18/2011,154
3/21/2010,93
8/30/2012,119
1/13/2022,691
11/12/2013,116
11/10/2016,114
7/4/2009,98
8/6/2010,93
10/13/2022,5143
11/6/2020,277
8/13/2016,102
9/16/2022,903
11/28/2021,473
12/28/2012,126
11/28/2020,281
7/21/2010,108
1/26/2017,172
3/22/2017,107
9/5/2022,884
4/30/2022,708
7/24/2012,137
8/5/2021,392
4/19/2011,99
6/15/2021,315
1/18/2021,317
5/16/2012,156
1/7/2009,39
2/21/2021,343
2/18/2021,368
11/23/2021,478
3/7/2010,83
10/2/2019,174
11/18/2021,434
3/4/2022,578
10/20/2022,1459
10/25/2022,1650
10/7/2022,1160
3/18/2013,141
6/9/2020,291
8/12/2020,322
10/4/2013,126
9/6/2021,394
2/13/2015,106
7/2/2014,116
10/7/2017,149
3/20/2010,72
3/20/2020,326
5/20/2015,119
8/28/2015,84
10/9/2020,276
4/6/2021,352
5/22/2010,122
5/1/2016,126
8/30/2015,120
1/17/2022,514
7/23/2020,307
7/25/2010,100
10/29/2022,6896
11/20/2012,100
9/30/2013,99
5/8/2021,396
9/25/2013,124
9/9/2018,145
3/11/2022,539
7/18/2022,710
11/4/2022,7342
11/19/2009,76
6/2/2016,107
3/18/2021,334
4/21/2021,389
2/18/2022,536
3/29/2018,119
4/24/2022,548
10/16/2019,191
10/21/2019,201
7/30/2018,132
3/17/2022,553
1/12/2019,174
2/2/2022,540
8/3/2022,721
11/4/2020,320
10/15/2012,85
9/21/2008,9
4/13/2016,101
1/18/2022,502
6/30/2009,158
1/25/2022,557
4/9/2022,643
12/20/2012,114
3/20/2021,362
10/23/2022,1450
12/25/2021,473
4/8/2019,159
5/29/2022,643
4/9/2014,104
5/2/2021,362
7/13/2022,698
8/11/2012,92
2/8/2018,111
12/2/2021,425
9/22/2022,1549
9/21/2022,1779
4/22/2013,117
12/22/2020,308
10/20/2021,470
12/19/2008,29
8/13/2011,113
10/15/2018,157
1/4/2014,113
1/29/2010,96
11/23/2011,106
4/19/2022,644
9/27/2018,120
4/14/2017,122
7/4/2017,151
12/10/2014,83
12/24/2019,207
8/16/2011,121
5/8/2011,105
3/19/2012,135
9/21/2018,129
1/31/2014,96
8/7/2022,720
2/9/2013,121
10/19/2019,216
9/30/2011,109
11/2/2022,10784
8/22/2013,125
11/7/2010,82
7/23/2022,683
